Type,Term
Negation,no
Negation,not
Negation,none
Negation,no one
Negation,nobody
Negation,nothing
Negation,neither
Negation,nowhere
Negation,never
Negation,hardly
Negation,scarcely
Negation,barely
Negation,doesn’t
Negation,isn’t
Negation,wasn’t
Negation,shouldn’t
Negation,wouldn’t
Negation,couldn’t
Negation,won’t
Negation,cannot
Negation,don’t
NLTK,i
NLTK,me
NLTK,my
NLTK,myself
NLTK,we
NLTK,our
NLTK,ours
NLTK,ourselves
NLTK,you
NLTK,your
NLTK,yours
NLTK,yourself
NLTK,yourselves
NLTK,he
NLTK,him
NLTK,his
NLTK,himself
NLTK,she
NLTK,her
NLTK,hers
NLTK,herself
NLTK,it
NLTK,its
NLTK,itself
NLTK,they
NLTK,them
NLTK,their
NLTK,theirs
NLTK,themselves
NLTK,what
NLTK,which
NLTK,who
NLTK,whom
NLTK,this
NLTK,that
NLTK,these
NLTK,those
NLTK,am
NLTK,is
NLTK,are
NLTK,was
NLTK,were
NLTK,be
NLTK,been
NLTK,being
NLTK,have
NLTK,has
NLTK,had
NLTK,having
NLTK,do
NLTK,does
NLTK,did
NLTK,doing
NLTK,a
NLTK,an
NLTK,the
NLTK,and
NLTK,but
NLTK,if
NLTK,or
NLTK,because
NLTK,as
NLTK,until
NLTK,while
NLTK,of
NLTK,at
NLTK,by
NLTK,for
NLTK,with
NLTK,about
NLTK,against
NLTK,between
NLTK,into
NLTK,through
NLTK,during
NLTK,before
NLTK,after
NLTK,above
NLTK,below
NLTK,to
NLTK,from
NLTK,up
NLTK,down
NLTK,in
NLTK,out
NLTK,on
NLTK,off
NLTK,over
NLTK,under
NLTK,again
NLTK,further
NLTK,then
NLTK,once
NLTK,here
NLTK,there
NLTK,when
NLTK,where
NLTK,why
NLTK,how
NLTK,all
NLTK,any
NLTK,both
NLTK,each
NLTK,few
NLTK,more
NLTK,most
NLTK,other
NLTK,some
NLTK,such
NLTK,no
NLTK,nor
NLTK,not
NLTK,only
NLTK,own
NLTK,same
NLTK,so
NLTK,than
NLTK,too
NLTK,very
NLTK,s
NLTK,t
NLTK,can
NLTK,will
NLTK,just
NLTK,don
NLTK,should
NLTK,now
